Investigator,,Time (s),Electrode,Amplitude (mV)
,,00451.162960,A2_33,0.017
,,00451.165520,A2_66,0.019
,,00451.206080,A2_33,0.017
,,00451.211200,A2_66,0.022
,,00451.221440,A2_24,0.023
,,00451.232720,A2_24,0.019
,,00451.237040,A2_33,0.015
,,00451.249520,A2_66,0.019
,,00451.290640,A2_33,0.02
,,00451.290800,B2_32,0.016
,,00451.291920,B2_23,0.028
,,00451.294000,B2_43,0.011
,,00451.296880,B2_32,0.014
,,00451.298480,B2_23,0.023
,,00451.310160,B2_32,0.017
,,00451.318480,B2_32,0.017
,,00451.319440,B2_23,0.027
,,00451.336560,B2_23,0.026
,,00451.356640,B2_23,0.022
,,00451.368240,B2_23,0.022
,,00451.380400,B2_23,0.024
,,00451.398880,B2_23,0.022
,,00451.412720,A2_33,0.015
,,00451.453040,A2_66,0.01
,,00451.469360,A2_33,0.013
,,00451.512080,B2_23,0.023
,,00451.519280,A2_33,0.017
,,00451.528400,A2_33,0.015
,,00451.535280,B2_23,0.021
,,00451.542080,A2_24,0.021
,,00451.572960,B2_32,0.013
,,00451.573920,B2_23,0.021
,,00451.577840,A2_24,0.017
,,00451.579920,A2_66,0.02
,,00451.590720,A2_33,0.014
,,00451.609600,B2_23,0.017
,,00451.641600,A2_66,0.018
,,00451.651120,B2_23,0.022
,,00451.661600,A2_33,0.014
,,00451.689440,A2_33,0.016
,,00451.716080,B2_23,0.025
,,00451.739280,A2_53,0.011
,,00451.881360,A2_33,0.017
,,00451.884080,A2_66,0.014
,,00451.931280,A2_33,0.014
,,00451.996720,A2_66,0.016
,,00452.006640,A2_24,0.019
,,00452.030880,A2_33,0.015
,,00452.147360,A2_33,0.017
,,00452.169760,A2_66,0.014
,,00452.243440,A2_33,0.015
,,00452.274960,A2_42,0.011
,,00452.314000,A2_66,0.015
,,00452.319840,A2_33,0.015
,,00452.368080,A2_24,0.017
,,00452.416480,A2_66,0.013
,,00452.418000,A2_33,0.017
,,00452.609200,A3_31,0.02
,,00452.610960,A2_46,0.016
,,00452.731120,A2_66,0.017
,,00452.763280,A2_24,0.017
,,00452.774880,A2_33,0.016
,,00452.811120,A2_24,0.021
,,00452.835760,A2_66,0.022
,,00452.855360,A2_33,0.017
,,00452.909360,A2_33,0.014
,,00453.302560,A3_31,0.018
,,00454.211040,A3_31,0.022
,,00454.511680,A2_22,0.01
,,00454.511920,A2_11,0.02
,,00454.911680,B2_32,0.016
,,00454.962640,B2_23,0.019
,,00454.977440,B2_32,0.014
,,00455.003120,B2_32,0.011
,,00455.041120,B2_23,0.021
,,00455.051680,B2_23,0.018
,,00455.058080,B2_23,0.025
,,00455.071920,B2_23,0.02
,,00455.088080,B2_23,0.025
,,00455.178720,A2_21,0.022
,,00455.189520,B2_32,0.014
,,00455.190400,B2_23,0.025
,,00455.226640,B2_23,0.025
,,00455.268320,B2_23,0.02
,,00455.398320,B2_23,0.019
,,00456.482480,A3_31,0.018
,,00456.984640,A2_21,0.023
,,00457.845840,A2_22,0.021
,,00457.846880,A2_11,0.023
,,00457.867360,A2_24,0.027
,,00457.878000,A2_24,0.028
,,00457.896960,A2_66,0.022
,,00457.927440,A2_11,0.022
,,00457.938000,A2_46,0.019
,,00457.961680,A2_33,0.016
,,00457.979280,A2_66,0.023
,,00457.996480,A2_33,0.02
,,00458.008080,A2_24,0.021
,,00458.011120,A2_21,0.03
,,00458.019360,A2_33,0.015
,,00458.025920,A2_66,0.019
,,00458.032160,A2_21,0.017
,,00458.032880,A2_14,0.013
,,00458.038400,A2_28,0.011
,,00458.051440,A2_21,0.02
,,00458.057200,A2_33,0.021
,,00458.061520,A2_21,0.021
,,00458.064960,A2_31,0.011
,,00458.088560,A2_66,0.017
,,00458.092800,A2_33,0.018
,,00458.111760,A2_33,0.015
,,00458.117680,A2_22,0.018
,,00458.130800,A2_21,0.026
,,00458.132640,A2_33,0.016
,,00458.134160,A2_66,0.017
,,00458.137600,A2_22,0.014
,,00458.159760,A2_66,0.022
,,00458.160800,A2_46,0.013
,,00458.174000,A2_24,0.022
,,00458.181680,A2_33,0.013
,,00458.182960,A2_66,0.019
,,00458.199520,A2_33,0.018
,,00458.204480,A2_33,0.014
,,00458.205520,A2_21,0.017
,,00458.210960,A2_66,0.019
,,00458.243840,A2_33,0.02
,,00458.264400,A2_42,0.011
,,00458.306240,A2_33,0.015
,,00458.401520,A2_33,0.013
,,00458.425040,A2_66,0.015
,,00458.461680,A2_24,0.024
,,00458.479200,A2_33,0.022
,,00458.499920,A2_33,0.016
,,00458.620720,A2_33,0.013
,,00458.630400,A2_33,0.015
,,00458.685120,A2_66,0.015
,,00458.730480,A2_33,0.014
,,00458.857280,A2_33,0.014
,,00458.998240,A2_33,0.014
,,00459.035760,A2_22,0.013
,,00459.130560,A2_33,0.015
,,00459.397120,A3_31,0.019
,,00459.686880,A3_31,0.017
,,00459.969040,A2_21,0.022
,,00460.473600,A3_31,0.019
,,00460.825200,A3_31,0.015
,,00461.951680,A2_21,0.025
,,00462.356240,A2_22,0.023
,,00462.393200,A2_24,0.029
,,00462.403040,A2_24,0.024
,,00462.421360,A2_66,0.025
,,00462.465760,A2_33,0.014
,,00462.496160,A2_43,0.016
,,00462.498400,A2_24,0.022
,,00462.500800,A2_66,0.022
,,00462.517920,A2_21,0.026
,,00462.524320,A2_33,0.012
,,00462.532720,A2_33,0.013
,,00462.545280,A2_66,0.022
,,00462.546560,A2_21,0.027
,,00462.552320,A2_33,0.014
,,00462.555520,A2_21,0.024
,,00462.559040,A2_22,0.012
,,00462.579200,A2_33,0.016
,,00462.591120,A2_24,0.017
,,00462.597760,A2_33,0.017
,,00462.602880,A2_28,0.01
,,00462.617840,A2_66,0.022
,,00462.618240,A2_33,0.015
,,00462.630400,A2_33,0.014
,,00462.649280,A2_24,0.018
,,00462.658960,A2_24,0.023
,,00462.676720,A2_66,0.02
,,00462.706080,A2_22,0.014
,,00462.706800,A2_66,0.013
,,00462.708960,A2_33,0.015
,,00462.709360,A2_66,0.01
,,00462.713760,A2_33,0.016
,,00462.717760,A2_21,0.023
,,00462.736640,A2_66,0.013
,,00462.739680,A2_32,0.015
,,00462.762320,A2_33,0.015
,,00462.769040,A2_33,0.017
,,00462.787200,A2_46,0.016
,,00462.796880,A2_33,0.014
,,00462.813600,A2_33,0.016
,,00462.819040,A2_33,0.013
,,00462.832160,A2_24,0.017
,,00462.840720,A2_33,0.015
,,00462.860880,A2_24,0.017
,,00462.933520,A2_33,0.015
,,00462.964880,A2_33,0.013
,,00462.997040,A2_66,0.02
,,00463.006240,A2_33,0.019
,,00463.049040,A2_33,0.013
,,00463.126000,A2_24,0.018
,,00463.132320,A2_56,0.015
,,00463.208320,A2_66,0.012
,,00463.263600,A2_33,0.015
,,00463.271200,A3_31,0.019
,,00463.316880,A2_33,0.013
,,00463.329600,A2_33,0.014
,,00463.452720,A2_33,0.016
,,00463.494400,A2_33,0.012
,,00463.499520,A2_24,0.015
,,00463.596800,A2_33,0.013
,,00463.660480,A3_31,0.017
,,00464.294240,A3_31,0.017
,,00464.432160,A2_21,0.022
,,00465.171200,A3_31,0.02
,,00466.055920,A2_21,0.023
,,00466.739520,A3_31,0.019
,,00467.221040,A2_22,0.02
,,00467.222320,A2_11,0.021
,,00467.243760,A2_24,0.025
,,00467.269200,A2_66,0.022
,,00467.275120,A2_22,0.016
,,00467.301360,A2_24,0.018
,,00467.301680,A2_46,0.017
,,00467.320000,A2_33,0.025
,,00467.344160,A2_66,0.025
,,00467.351520,A2_24,0.014
,,00467.361680,A2_21,0.028
,,00467.369920,A2_33,0.017
,,00467.380400,A2_21,0.02
,,00467.386640,A2_66,0.019
,,00467.388480,A2_33,0.015
,,00467.391520,A2_21,0.021
,,00467.393920,A2_33,0.015
,,00467.438400,A2_14,0.013
,,00467.442560,A2_66,0.023
,,00467.448000,A2_33,0.014
,,00467.454880,A2_33,0.013
,,00467.459520,A2_24,0.022
,,00467.466320,A2_33,0.019
,,00467.474880,A2_21,0.02
,,00467.494560,A2_66,0.018
,,00467.497520,A2_22,0.012
,,00467.520800,A2_22,0.011
,,00467.540480,A2_21,0.016
,,00467.561520,A2_33,0.013
,,00467.563920,A2_24,0.015
,,00467.564160,A2_66,0.015
,,00467.595920,A2_28,0.011
,,00467.625600,A2_33,0.022
,,00467.647440,A3_31,0.02
,,00467.654880,A2_24,0.018
,,00467.719280,A2_33,0.015
,,00467.733600,A2_33,0.015
,,00467.798960,A2_33,0.013
,,00467.809280,A2_66,0.013
,,00467.858320,A2_33,0.013
,,00467.959040,A2_24,0.023
,,00467.991120,A2_33,0.015
,,00468.000160,A2_33,0.016
,,00468.040800,A2_33,0.016
,,00468.041200,A2_66,0.022
,,00468.071920,A2_33,0.012
,,00468.094080,A2_46,0.018
,,00468.138160,A2_33,0.015
,,00468.213040,A2_33,0.013
,,00468.347520,A2_33,0.015
,,00468.580160,A2_24,0.018
,,00468.601760,A2_33,0.012
,,00469.250560,A2_21,0.013
,,00469.872480,A3_31,0.021
,,00470.440400,A3_21,0.015
,,00470.618080,A3_21,0.019
,,00470.958480,A3_21,0.017
,,00471.420880,A3_21,0.018
,,00471.456080,A2_21,0.028
,,00471.555760,A2_21,0.02
,,00472.801440,A3_31,0.02
,,00472.818800,B2_32,0.016
,,00472.819920,B2_23,0.027
,,00472.827760,B2_23,0.021
,,00472.838000,B2_23,0.023
,,00472.855920,B2_23,0.026
,,00472.867840,B2_32,0.014
,,00472.939840,B2_23,0.019
,,00472.942480,A2_22,0.012
,,00472.973360,B2_23,0.024
,,00472.999200,B2_23,0.023
,,00473.006800,A2_22,0.021
,,00473.008160,A2_11,0.02
,,00473.026400,A2_24,0.026
,,00473.035680,A2_24,0.023
,,00473.044720,A2_24,0.014
,,00473.059920,A2_22,0.019
,,00473.067200,A2_66,0.025
,,00473.087040,A2_46,0.017
,,00473.121040,A2_33,0.013
,,00473.121840,A2_28,0.011
,,00473.123440,A2_24,0.019
,,00473.123600,A2_11,0.017
,,00473.126720,A2_33,0.018
,,00473.130480,A2_66,0.024
,,00473.136320,A2_33,0.015
,,00473.138160,A2_24,0.017
,,00473.138480,A2_21,0.028
,,00473.150240,A2_33,0.015
,,00473.159200,A2_21,0.023
,,00473.166720,A2_66,0.02
,,00473.181200,A2_33,0.015
,,00473.189920,A2_33,0.022
,,00473.198560,A2_33,0.015
,,00473.202800,A2_33,0.02
,,00473.205920,A2_33,0.014
,,00473.214160,A2_21,0.016
,,00473.215600,A2_66,0.022
,,00473.217920,A2_33,0.012
,,00473.227440,A2_33,0.015
,,00473.233200,A2_24,0.021
,,00473.235520,A2_44,0.011
,,00473.235760,A2_24,0.02
,,00473.237840,A2_21,0.012
,,00473.241120,A2_33,0.015
,,00473.257440,A2_24,0.021
,,00473.258880,A2_33,0.019
,,00473.263760,A2_33,0.021
,,00473.278400,A2_66,0.024
,,00473.301600,A2_28,0.01
,,00473.310880,A2_66,0.023
,,00473.331440,A2_33,0.013
,,00473.379520,A2_33,0.015
,,00473.387840,A2_24,0.018
,,00473.392160,A2_66,0.012
,,00473.399120,A2_24,0.018
,,00473.429680,A2_33,0.016
,,00473.435120,A2_33,0.018
,,00473.454640,A2_33,0.015
,,00473.475120,A2_33,0.016
,,00473.493760,A2_24,0.016
,,00473.515280,A2_33,0.014
,,00473.554080,A2_33,0.012
,,00473.590400,A2_33,0.014
,,00473.636720,A2_66,0.021
,,00473.641760,A2_33,0.015
,,00473.660000,A2_24,0.02
,,00473.699920,A2_33,0.016
,,00473.750160,A2_33,0.017
,,00473.819680,A2_24,0.015
,,00473.845760,A2_66,0.019
,,00474.007600,A2_33,0.013
,,00474.172160,A2_33,0.014
,,00474.194960,A2_24,0.017
,,00475.224000,A2_21,0.021
,,00475.329520,A2_21,0.015
,,00476.204480,A3_21,0.011
,,00476.228480,A3_37,0.016
,,00476.293280,A3_21,0.017
,,00476.325440,A3_21,0.012
,,00476.901760,A3_21,0.01
,,00477.052480,A2_21,0.026
,,00477.140160,A2_21,0.022
,,00477.328960,A3_21,0.019
,,00477.427600,A3_31,0.019
,,00478.491200,A3_31,0.018
,,00478.506560,A3_67,0.018
,,00478.530960,A3_21,0.018
,,00478.630640,A3_31,0.013
,,00478.665360,A2_22,0.021
,,00478.666720,A2_24,0.029
,,00478.702720,A2_22,0.011
,,00478.706560,A2_46,0.017
,,00478.711440,A3_21,0.011
,,00478.714480,A2_66,0.023
,,00478.723840,A2_46,0.015
,,00478.751280,A3_21,0.018
,,00478.755760,A2_24,0.028
,,00478.761920,A2_33,0.015
,,00478.783200,A2_66,0.02
,,00478.783680,A2_21,0.025
,,00478.802560,A2_33,0.014
,,00478.810720,A2_21,0.016
,,00478.819280,A2_56,0.018
,,00478.820400,A2_22,0.012
,,00478.821200,A2_33,0.021
,,00478.829520,A2_21,0.023
,,00478.830720,A2_66,0.016
,,00478.838960,A2_33,0.014
,,00478.852080,A2_22,0.011
,,00478.854480,A2_22,0.014
,,00478.858320,A2_33,0.015
,,00478.864480,A3_21,0.012
,,00478.872560,A2_32,0.015
,,00478.877680,A2_66,0.018
,,00478.888080,A2_24,0.019
,,00478.895520,A2_24,0.016
,,00478.905600,A2_21,0.024
,,00478.906080,A2_24,0.02
,,00478.908720,A2_33,0.021
,,00478.911040,A2_24,0.017
,,00478.934240,A2_31,0.014
,,00478.939280,A2_66,0.028
,,00478.948000,A2_21,0.025
,,00478.953120,A2_33,0.013
,,00478.968720,A2_66,0.021
,,00478.982800,A2_21,0.011
,,00478.998800,A2_33,0.013
,,00478.999200,A2_66,0.021
,,00479.006240,A2_22,0.018
,,00479.016720,A2_33,0.013
,,00479.036080,A2_66,0.018
,,00479.044720,A2_33,0.014
,,00479.054080,A2_33,0.019
,,00479.075520,A2_43,0.011
,,00479.097520,A2_24,0.015
,,00479.104000,A2_33,0.013
,,00479.108640,A2_24,0.021
,,00479.114000,A2_24,0.022
,,00479.170800,A2_33,0.013
,,00479.201920,A2_33,0.015
,,00479.228080,A2_33,0.014
,,00479.231920,A2_33,0.012
,,00479.243760,A3_21,0.012
,,00479.245920,A2_66,0.019
,,00479.404240,A3_21,0.012
,,00479.423920,A2_28,0.011
,,00479.445200,A2_66,0.022
,,00479.484880,A2_24,0.018
,,00479.493680,A3_21,0.01
,,00479.602400,A2_33,0.016
,,00479.659280,A2_33,0.013
,,00479.676560,A3_21,0.016
,,00479.726800,A2_33,0.013
,,00479.796800,A2_24,0.019
,,00479.856880,A2_33,0.013
,,00479.957920,A2_33,0.012
,,00480.191680,A3_31,0.012
,,00480.350160,A3_21,0.01
,,00480.741280,A2_21,0.024
,,00481.148320,A3_21,0.013
,,00481.522800,A3_31,0.013
,,00482.214720,A3_21,0.017
,,00482.223040,A2_21,0.023
,,00482.303200,A2_21,0.017
,,00482.802720,A3_21,0.017
,,00483.135920,A3_21,0.019
,,00483.197200,A3_21,0.014
,,00483.395200,A3_21,0.013
,,00483.656640,B2_32,0.016
,,00483.657760,B2_23,0.022
,,00483.666640,B2_32,0.014
,,00483.680640,B2_23,0.024
,,00483.700080,B2_32,0.016
,,00483.701040,B2_23,0.024
,,00483.714960,B2_23,0.023
,,00483.727440,B2_32,0.015
,,00483.728400,B2_23,0.024
,,00483.743520,B2_32,0.014
,,00483.744400,B2_23,0.02
,,00483.813520,B2_32,0.013
,,00483.844560,B2_23,0.019
,,00483.884240,B2_23,0.024
,,00484.150640,A2_21,0.025
,,00484.910800,A3_21,0.014
,,00484.950640,A2_22,0.02
,,00484.951280,A2_24,0.018
,,00484.951760,A2_11,0.02
,,00484.983200,A2_66,0.024
,,00485.002000,A2_46,0.017
,,00485.019920,A2_24,0.018
,,00485.025360,A2_22,0.012
,,00485.027120,A2_33,0.014
,,00485.036320,A2_46,0.019
,,00485.049840,A2_33,0.015
,,00485.051120,A2_66,0.026
,,00485.059680,A2_21,0.027
,,00485.074560,A2_24,0.02
,,00485.080800,A2_21,0.026
,,00485.085920,A2_66,0.02
,,00485.094080,A2_46,0.011
,,00485.105360,A2_33,0.016
,,00485.111680,A2_33,0.02
,,00485.122480,A2_33,0.014
,,00485.131440,A2_66,0.023
,,00485.147920,A2_33,0.014
,,00485.153840,A2_33,0.026
,,00485.168480,A2_33,0.013
,,00485.172480,A2_33,0.014
,,00485.175280,A2_22,0.014
,,00485.180960,A2_24,0.018
,,00485.214720,A2_33,0.014
,,00485.221680,A2_21,0.026
,,00485.224560,A2_33,0.012
,,00485.229760,A2_66,0.019
,,00485.235360,A2_22,0.014
,,00485.236000,A2_21,0.017
,,00485.239360,A2_33,0.012
,,00485.268800,A2_24,0.02
,,00485.269920,A2_33,0.016
,,00485.270880,A2_66,0.014
,,00485.299600,A2_33,0.014
,,00485.375520,A2_66,0.013
,,00485.376880,A2_24,0.023
,,00485.453600,A2_56,0.012
,,00485.472640,A2_33,0.013
,,00485.493040,A2_33,0.015
,,00485.539920,A2_24,0.018
,,00485.547840,A2_33,0.013
,,00485.655440,A2_24,0.016
,,00485.660640,A2_33,0.013
,,00485.700000,A2_33,0.012
,,00485.821040,A2_33,0.015
,,00485.869440,A2_24,0.023
,,00485.882640,A2_24,0.018
,,00485.891120,A2_44,0.013
,,00485.894160,A2_33,0.013
,,00485.932000,A2_66,0.019
,,00485.945680,A2_56,0.014
,,00485.951600,A2_33,0.016
,,00486.099520,A2_33,0.015
,,00486.253360,A2_24,0.018
,,00486.416560,A3_31,0.022
,,00486.629680,A2_21,0.023
,,00487.027520,A3_31,0.019
,,00487.996640,A3_31,0.022
,,00488.400320,A2_21,0.022
,,00488.556240,A3_31,0.018
,,00489.574400,A2_22,0.013
,,00489.574560,A2_11,0.024
,,00489.599200,A2_24,0.021
,,00489.634080,A2_22,0.014
,,00489.639760,A3_31,0.017
,,00489.652640,A2_66,0.025
,,00489.668880,A2_22,0.014
,,00489.674720,A2_46,0.02
,,00489.701680,A2_43,0.014
,,00489.703920,A2_24,0.02
,,00489.719600,A2_33,0.019
,,00489.724480,A2_66,0.025
,,00489.725840,A2_24,0.018
,,00489.726000,A2_33,0.014
,,00489.731120,A2_33,0.014
,,00489.731440,A2_21,0.022
,,00489.735920,A3_31,0.019
,,00489.737920,A2_33,0.016
,,00489.748000,A2_21,0.028
,,00489.749840,A2_33,0.017
,,00489.760800,A2_21,0.017
,,00489.762400,A2_24,0.018
,,00489.774640,A2_33,0.019
,,00489.776800,A2_66,0.022
,,00489.780080,A2_24,0.017
,,00489.783840,A2_33,0.018
,,00489.792720,A2_33,0.015
,,00489.836240,A2_66,0.02
,,00489.850960,A2_33,0.016
,,00489.859920,A2_33,0.023
,,00489.878480,A2_21,0.017
,,00489.888720,A2_21,0.02
,,00489.902240,A2_66,0.019
,,00489.923840,A2_22,0.013
,,00489.925040,A2_33,0.017
,,00489.928000,A2_12,0.019
,,00489.928080,A2_21,0.014
,,00489.931280,A2_66,0.021
,,00489.935920,A2_12,0.019
,,00489.939200,A2_66,0.016
,,00489.942480,A2_33,0.018
,,00489.977280,A2_66,0.016
,,00489.978160,A2_24,0.02
,,00490.033840,A2_33,0.015
,,00490.070560,A2_33,0.015
,,00490.089840,A2_33,0.012
,,00490.110800,A2_24,0.016
,,00490.119840,A2_33,0.01
,,00490.124320,A2_24,0.018
,,00490.140720,A2_33,0.013
,,00490.201440,A3_31,0.022
,,00490.210080,A2_24,0.018
,,00490.242320,A2_66,0.019
,,00490.280960,B2_32,0.014
,,00490.282000,B2_23,0.03
,,00490.295440,B2_23,0.029
,,00490.306560,B2_23,0.024
,,00490.315760,B2_32,0.014
,,00490.316720,B2_23,0.023
,,00490.338000,B2_23,0.021
,,00490.354560,B2_32,0.013
,,00490.355520,B2_23,0.022
,,00490.370640,B2_23,0.028
,,00490.432320,B2_23,0.022
,,00490.479760,A2_66,0.017
,,00490.531360,B2_23,0.028
,,00490.594880,A2_33,0.014
,,00490.628800,A3_31,0.019
,,00490.644880,A2_24,0.016
,,00490.654080,B2_32,0.013
,,00490.655040,B2_23,0.022
,,00490.658160,A2_22,0.012
,,00490.741440,A2_24,0.019
,,00491.660000,A3_31,0.02
,,00491.816480,A2_21,0.021
,,00492.620560,A3_31,0.018
,,00493.331040,A2_22,0.019
,,00493.396400,A2_24,0.026
,,00493.426720,A2_22,0.017
,,00493.428480,A2_11,0.023
,,00493.455840,A2_66,0.024
,,00493.469680,A2_46,0.018
,,00493.516400,A2_33,0.014
,,00493.520000,A2_33,0.013
,,00493.532560,A2_11,0.023
,,00493.533200,A2_22,0.012
,,00493.546960,A2_21,0.023
,,00493.548480,A2_66,0.022
,,00493.558800,A2_24,0.035
,,00493.563440,A2_21,0.023
,,00493.571760,A2_22,0.014
,,00493.575200,A2_33,0.02
,,00493.582720,A2_33,0.012
,,00493.583360,A2_24,0.021
,,00493.585520,A2_21,0.029
,,00493.597840,A2_21,0.017
,,00493.599760,A2_33,0.02
,,00493.602240,A2_33,0.017
,,00493.606800,A2_24,0.019
,,00493.614000,A2_66,0.024
,,00493.650560,A2_33,0.018
,,00493.655120,A2_33,0.015
,,00493.682320,A2_33,0.013
,,00493.693680,A2_33,0.02
,,00493.696240,A2_66,0.019
,,00493.710720,A2_28,0.011
,,00493.715280,A2_33,0.011
,,00493.735360,A2_21,0.021
,,00493.741200,A2_33,0.016
,,00493.764160,A2_33,0.016
,,00493.766320,A2_66,0.024
,,00493.775280,A2_66,0.011
,,00493.789840,A2_24,0.028
,,00493.796640,A2_33,0.018
,,00493.800480,A2_24,0.024
,,00493.812960,A2_66,0.02
,,00493.872880,A2_66,0.013
,,00493.890320,A2_33,0.014
,,00493.896320,B2_43,0.011
,,00493.899520,B2_32,0.016
,,00493.900560,B2_23,0.029
,,00493.916800,B2_32,0.013
,,00493.917680,B2_23,0.023
,,00493.924400,B2_32,0.014
,,00493.928000,B2_43,0.01
,,00493.932240,B2_23,0.022
,,00493.942320,B2_23,0.02
,,00493.955360,B2_23,0.024
,,00493.968160,B2_23,0.031
,,00493.969360,A2_33,0.016
,,00493.986480,B2_23,0.022
,,00493.995280,A2_24,0.022
,,00494.003920,B2_23,0.029
,,00494.005360,A2_33,0.017
,,00494.034560,A2_66,0.018
,,00494.041760,A2_33,0.015
,,00494.045280,B2_23,0.022
,,00494.064400,B2_23,0.023
,,00494.076640,B2_32,0.012
,,00494.087040,A2_33,0.012
,,00494.092560,B2_23,0.021
,,00494.109760,B2_23,0.021
,,00494.124160,B2_23,0.022
,,00494.137120,A2_24,0.019
,,00494.148800,A2_33,0.015
,,00494.157760,B2_23,0.022
,,00494.190480,B2_32,0.013
,,00494.205120,A3_31,0.019
,,00494.209760,B2_23,0.038
,,00494.219760,A2_33,0.014
,,00494.253440,A2_33,0.015
,,00494.308560,A2_33,0.014
,,00494.358720,B2_23,0.021
,,00494.396480,B2_23,0.02
,,00494.420880,A3_31,0.012
,,00494.433200,B2_23,0.025
,,00494.443840,A2_33,0.012
,,00494.458720,A2_24,0.02
,,00494.488720,B2_32,0.015
,,00494.546560,B2_23,0.02
,,00494.750080,B2_23,0.02
,,00494.795200,B2_23,0.033
,,00494.856160,B2_23,0.022
,,00494.898080,B2_23,0.021
,,00494.940480,B2_32,0.012
,,00494.951520,B2_32,0.014
,,00494.952480,B2_23,0.025
,,00494.982960,B2_23,0.02
,,00495.010880,B2_23,0.022
,,00495.038320,B2_32,0.013
,,00495.039280,B2_23,0.022
,,00495.103680,B2_23,0.025
,,00495.186880,B2_23,0.022
,,00495.261760,B2_32,0.013
,,00495.325440,B2_23,0.026
,,00495.369040,A3_31,0.019
,,00495.373920,B2_23,0.019
,,00495.481760,B2_23,0.019
,,00495.509760,B2_23,0.023
,,00495.546160,B2_23,0.02
,,00495.618720,B2_23,0.028
,,00495.712880,B2_32,0.014
,,00495.713840,B2_23,0.025
,,00495.800480,B2_23,0.023
,,00495.865040,A3_31,0.023
,,00496.186000,B2_32,0.012
,,00496.187200,B2_23,0.022
,,00496.293040,B2_32,0.015
,,00496.294160,B2_23,0.025
,,00496.355360,B2_32,0.012
,,00496.356320,B2_23,0.027
,,00496.385600,B2_23,0.027
,,00496.440160,B2_32,0.013
,,00496.441120,B2_23,0.026
,,00496.488640,B2_32,0.012
,,00496.489600,B2_23,0.026
,,00496.930880,A2_22,0.018
,,00496.932000,A2_11,0.022
,,00496.963040,A2_24,0.019
,,00497.003440,A2_66,0.022
,,00497.012480,A2_46,0.02
,,00497.030880,B2_32,0.015
,,00497.032000,B2_23,0.025
,,00497.045440,A2_32,0.016
,,00497.048400,A2_33,0.012
,,00497.050640,B2_23,0.025
,,00497.056080,A2_33,0.013
,,00497.065600,B2_23,0.03
,,00497.077600,B2_23,0.03
,,00497.085920,A2_33,0.013
,,00497.088640,A2_66,0.025
,,00497.104800,A2_21,0.024
,,00497.105040,A2_33,0.018
,,00497.107680,A2_33,0.015
,,00497.124720,A2_21,0.026
,,00497.125520,A2_33,0.014
,,00497.135600,A2_21,0.017
,,00497.135920,B2_32,0.014
,,00497.158080,A2_66,0.022
,,00497.177440,A2_21,0.021
,,00497.182080,A2_22,0.016
,,00497.184240,A2_33,0.013
,,00497.198480,B2_32,0.013
,,00497.203680,A2_24,0.019
,,00497.206560,A2_33,0.013
,,00497.210880,A2_33,0.017
,,00497.226000,B2_23,0.023
,,00497.235280,A2_33,0.016
,,00497.235440,A2_21,0.027
,,00497.246480,A2_66,0.019
,,00497.247680,A2_24,0.023
,,00497.259920,A2_33,0.016
,,00497.277600,A2_33,0.019
,,00497.293920,A2_33,0.018
,,00497.297600,A2_22,0.013
,,00497.309520,A2_66,0.021
,,00497.313040,B2_32,0.013
,,00497.320960,A2_22,0.015
,,00497.343040,A2_33,0.016
,,00497.358320,A2_66,0.02
,,00497.359120,B2_23,0.027
,,00497.373120,A2_33,0.016
,,00497.406000,A2_66,0.014
,,00497.423440,A2_46,0.012
,,00497.468160,A2_28,0.009
,,00497.485280,B2_43,0.012
,,00497.487760,A2_24,0.017
,,00497.491680,B2_23,0.023
,,00497.502240,A2_24,0.017
,,00497.542000,A2_33,0.014
,,00497.544720,B2_23,0.028
,,00497.548800,A2_33,0.014
,,00497.588000,A2_66,0.016
,,00497.626880,B2_32,0.014
,,00497.627920,B2_23,0.025
,,00497.630400,A2_33,0.014
,,00497.686480,B2_32,0.014
,,00497.687440,B2_23,0.024
,,00497.702720,A2_33,0.014
,,00497.714000,A2_24,0.022
,,00497.731440,B2_23,0.024
,,00497.767280,B2_32,0.012
,,00497.847440,B2_32,0.012
,,00497.848400,B2_23,0.022
,,00497.879680,B2_23,0.021
,,00497.882400,A2_66,0.014
,,00497.896320,A2_33,0.012
,,00497.914800,B2_32,0.014
,,00497.915760,B2_23,0.023
,,00497.966560,B2_23,0.022
,,00497.998320,A2_33,0.015
,,00498.016480,B2_23,0.022
,,00498.086960,B2_32,0.013
,,00498.088000,B2_23,0.022
,,00498.177040,B2_23,0.024
,,00498.227920,B2_32,0.014
,,00498.228960,B2_23,0.02
,,00498.321280,B2_23,0.026
,,00498.398800,B2_23,0.023
,,00498.507920,A3_31,0.021
,,00498.529520,B2_32,0.012
,,00498.600880,A3_67,0.02
,,00498.658240,A3_21,0.015
,,00498.708880,B2_32,0.016
,,00498.710000,B2_23,0.024
,,00498.715920,A3_31,0.015
,,00498.718000,A3_21,0.014
,,00498.766880,A3_21,0.01
,,00498.792960,B2_23,0.022
,,00498.918240,A2_21,0.024
,,00498.993040,B2_23,0.021
,,00499.179760,A3_21,0.013
,,00499.750480,A3_31,0.018
,,00500.783840,A2_22,0.02
,,00500.784880,A2_11,0.018
,,00500.817760,A2_24,0.016
,,00500.870160,A2_22,0.013
,,00500.876560,A2_21,0.021
,,00500.884320,A2_66,0.026
,,00500.925120,A2_46,0.017
,,00500.940240,A2_33,0.02
,,00500.951600,A2_46,0.016
